Keyword,Title,Link,Date,RelevanceScore
biến đổi,Việt Nam đồng hành cùng quốc tế ứng phó biến đổi khí hậu - Báo ...,https://baocantho.com.vn/viet-nam-dong-hanh-cung-quoc-te-ung-pho-bien-doi-khi-hau-a170112.html,12/2/2024,0.7034
biến đổi,Định hướng phát triển công nghệ để thích ứng với biến đổi khí hậu ...,https://baocantho.com.vn/dinh-huong-phat-trien-cong-nghe-de-thich-ung-voi-bien-doi-khi-hau-quan-tri-thanh-pho-thong-minh-a179721.html,24-10-2024,0.6971
biến đổi,Thúc đẩy hợp tác trong ứng phó biến đổi khí hậu với đối tác tại ...,https://baocantho.com.vn/thuc-day-hop-tac-trong-ung-pho-bien-doi-khi-hau-voi-doi-tac-tai-vuong-quoc-anh-a174622.html,7/6/2024,0.6923
phát triển bền vững,Cần giải pháp phát triển bền vững kinh tế tập thể tôm – lúa - Báo ...,https://baocantho.com.vn/can-giai-phap-phat-trien-ben-vung-kinh-te-tap-the-tom-lua-a176722.html,1/8/2024,0.6856
thích ứng,"Phát triển công nghệ thích ứng với biến đổi khí hậu, quản trị thành ...",https://baocantho.com.vn/video/xem-video/phat-trien-cong-nghe-thich-ung-voi-bien-doi-khi-hau-quan-tri-thanh-pho-thong-minh-3542.html,25-10-2024,0.6847
biến đổi,Tận dụng khoa học và công nghệ ứng phó với biến đổi khí hậu ...,https://baocantho.com.vn/tan-dung-khoa-hoc-va-cong-nghe-ung-pho-voi-bien-doi-khi-hau-phuc-vu-phat-trien-ben-vung-vung-dbscl-a169247.html,20-01-2024,0.6834
biến đổi,AI tìm ra phương pháp chống biến đổi khí hậu hiệu quả - Báo Cần ...,https://baocantho.com.vn/ai-tim-ra-phuong-phap-chong-bien-doi-khi-hau-hieu-qua-a177617.html,24-08-2024,682
thích ứng,"Phát triển du lịch thích ứng biến đổi khí hậu, hội nhập xu thế toàn ...",https://baocantho.com.vn/phat-trien-du-lich-thich-ung-bien-doi-khi-hau-hoi-nhap-xu-the-toan-cau-a172283.html,10/4/2024,0.6809
biến đổi,"Chủ động phòng chống thiên tai, ứng phó biến đổi khí hậu - Báo ...",https://baocantho.com.vn/chu-dong-phong-chong-thien-tai-ung-pho-bien-doi-khi-hau-a176865.html,4/8/2024,0.6798
biến đổi,Phát động trồng cây xanh ứng phó với biến đổi khí hậu - Báo Cần ...,https://baocantho.com.vn/phat-dong-trong-cay-xanh-ung-pho-voi-bien-doi-khi-hau-a175010.html,17-06-2024,0.6737
khí hậu,Tăng cường bảo vệ môi trường và chống chịu khí hậu tại tiểu vùng ...,https://baocantho.com.vn/tang-cuong-bao-ve-moi-truong-va-chong-chiu-khi-hau-tai-tieu-vung-song-mekong-a172424.html,13-04-2024,0.6642
phát triển bền vững,"Liên kết, hợp tác phát triển bền vững ngành Nông nghiệp - Báo Cần ...",https://baocantho.com.vn/lien-ket-hop-tac-phat-trien-ben-vung-nganh-nong-nghiep-a180631.html,20-11-2024,0.6494
phát triển bền vững,Bàn giải pháp bảo vệ và phát triển bền vững ĐBSCL - Báo Cần Thơ ...,https://baocantho.com.vn/video/xem-video/ban-giai-phap-bao-ve-va-phat-trien-ben-vung-dbscl-3314.html,15-05-2024,0.6457
phát triển bền vững,Tận dụng khoa học và công nghệ để phát triển bền vững ĐBSCL ...,https://baocantho.com.vn/video/xem-video/tan-dung-khoa-hoc-va-cong-nghe-de-phat-trien-ben-vung-dbscl-3133.html,20-01-2024,0.6434
phát triển bền vững,"Xây dựng thành phố xanh, phát triển bền vững - Báo Cần Thơ Online",https://baocantho.com.vn/xay-dung-thanh-pho-xanh-phat-trien-ben-vung-a168465.html,2/1/2024,0.6424
phát triển bền vững,400 đại biểu dự diễn đàn quốc tế Phát triển bền vững ĐBSCL - Báo ...,https://baocantho.com.vn/video/xem-video/400-dai-bieu-du-dien-dan-quoc-te-phat-trien-ben-vung-dbscl-3592.html,29-11-2024,0.6422
môi trường,"Chuyển đổi số, chuyển đổi xanh tài nguyên và môi trường năm ...",https://baocantho.com.vn/chuyen-doi-so-chuyen-doi-xanh-tai-nguyen-va-moi-truong-nam-2024-a181185.html,5/12/2024,0.6414
biến đổi,Quản lý trồng trọt thích ứng với biến đổi khí hậu - Báo Cần Thơ Online,https://baocantho.com.vn/quan-ly-trong-trot-thich-ung-voi-bien-doi-khi-hau-a168865.html,11/1/2024,0.6394
phát triển bền vững,Làm nông nghiệp xanh để phát triển bền vững - Báo Cần Thơ Online,https://baocantho.com.vn/lam-nong-nghiep-xanh-de-phat-trien-ben-vung-a168584.html,4/1/2024,0.6392
