Keyword,Title,Link,Date,RelevanceScore
biến đổi,"Giúp miền Tây ứng phó với biến đổi khí hậu, phát triển bền vững",https://baohaugiang.com.vn/khoa-hoc-cong-nghe/giup-mien-tay-ung-pho-voi-bien-doi-khi-hau-phat-trien-ben-vung-129352.html,25-01-2024,0.6415
biến đổi,Hội thi “Truyền thông viên giỏi về biến đổi khí hậu và bảo vệ môi ...,http://baohaugiang.com.vn/hoi-lien-hiep-phu-nu-tinh-hau-giang/hoi-thi-truyen-thong-vien-gioi-ve-bien-doi-khi-hau-va-bao-ve-moi-truong-134952.html,19-08-2024,0.6498
biến đổi,Dự án phát triển đô thị xanh thích ứng với biến đổi khí hậu thành ...,https://baohaugiang.com.vn/xay-dung-do-thi/du-an-phat-trien-do-thi-xanh-thich-ung-voi-bien-doi-khi-hau-thanh-pho-nga-bay-da-do-dac-xong-cac-hang-muc-133003.html,6/6/2024,0.7218
biến đổi,Dự án Phát triển đô thị xanh thích ứng với biến đổi khí hậu thành ...,http://baohaugiang.com.vn/kinh-te/du-an-phat-trien-do-thi-xanh-thich-ung-voi-bien-doi-khi-hau-thanh-pho-nga-bay-gia-tri-giai-ngan-dat-10-43-ke-hoach-von-133992.html,10/7/2024,0.7209
biến đổi,Phát triển nông nghiệp bền vững thích ứng biến đổi khí hậu,https://baohaugiang.com.vn/nong-nghiep-nong-thon/phat-trien-nong-nghiep-ben-vung-thich-ung-bien-doi-khi-hau-137603.html,27-11-2024,0.6758
biến đổi,Khoa học và công nghệ ứng phó với biến đổi khí hậu phục vụ phát ...,http://baohaugiang.com.vn/khoa-hoc-cong-nghe/khoa-hoc-va-cong-nghe-ung-pho-voi-bien-doi-khi-hau-phuc-vu-phat-trien-ben-vung-dbscl-129190.html,20-01-2024,0.7136
biến đổi,Trồng lúa ứng phó biến đổi khí hậu giúp giảm phát thải tăng hiệu quả,https://www.baohaugiang.com.vn/kinh-te/trong-lua-ung-pho-bien-doi-khi-hau-giup-giam-phat-thai-tang-hieu-qua-133102.html,10/6/2024,0.7351
biến đổi,Nuôi tôm trên đất lúa: Mô hình thích ứng với biến đổi khí hậu,http://baohaugiang.com.vn/nong-nghiep-nong-thon/nuoi-tom-tren-dat-lua-mo-hinh-thich-ung-voi-bien-doi-khi-hau-130967.html,26-03-2024,0.6974
công nghệ xanh,"Mở hướng công nghệ xanh, kinh tế tuần hoàn để phát triển bền vững",http://baohaugiang.com.vn/xay-dung-chinh-quyen-dien-tu-va-chuyen-doi-so/mo-huong-cong-nghe-xanh-kinh-te-tuan-hoan-de-phat-trien-ben-vung-132614.html,23-05-2024,0.6683
giờ Trái đất,Sôi nổi hưởng ứng Giờ Trái đất 2024 - Báo Hậu Giang,http://baohaugiang.com.vn/cong-thuong/soi-noi-huong-ung-gio-trai-dat-2024-130905.html,25-03-2024,0.5447
giờ Trái đất,"Treo hơn 1.000 băng rôn, phướn dọc hưởng ứng Giờ Trái đất 2024",https://old.baohaugiang.com.vn/thoi-su-trong-tinh/treo-hon-1-000-bang-ron-phuon-doc-huong-ung-gio-trai-dat-2024-130758.html,19-03-2024,0.4776
hạn hán,"Hậu Giang tiếp tục hứng chịu đợt nắng nóng, hạn hán, xâm nhập ...",https://www.baohaugiang.com.vn/xa-hoi/hau-giang-tiep-tuc-hung-chiu-dot-nang-nong-han-han-xam-nhap-man-gay-gat-131933.html,26-04-2024,0.5816
hạn hán,"Hạn hán, thiếu nước ảnh hưởng sản xuất vụ Đông Xuân và Hè thu",https://www.baohaugiang.com.vn/kinh-te/han-han-thieu-nuoc-anh-huong-san-xuat-vu-dong-xuan-va-he-thu-132656.html,25-05-2024,0.5302
